Country,Continent,Population (Millions)
China,Asia,1400
India,Asia,1380
USA,North America,331
Indonesia,Asia,273
Pakistan,Asia,220
Brazil,South America,212
Nigeria,Africa,206
Russia,Europe,146
Mexico,North America,128
Japan,Asia,126
